field,address,day_time,game_length,hometeam_score,hometeam,awayteam,awayteam_score,name
Campo 1,Via Jacopo Corrado 4 Padova Italia,2019-4-14 11:30,80,15,CUSB Fotta White,Beefree,1,MA2
Campo 1,Via Jacopo Corrado 4 Padova Italia,2019-4-14 14:30,80,15,Donkey Divers,Beefree,5,MA2
Campo 1,Via Jacopo Corrado 4 Padova Italia,2019-4-14 17:30,80,15,CUSB Fotta White,Donkey Divers,13,MA2
Campo 1,Via Cardinal Schuster Rescaldina (MI) Italia,2019-4-14 10:00,80,11,Ultimate CUS Brescia,Frasba dal Lac,15,MB1
Campo 1,Via Cardinal Schuster Rescaldina (MI) Italia,2019-4-14 13:00,80,15,Ultimate CUS Brescia,CUS Padova Barbari,10,MB1
Campo 1,Via Cardinal Schuster Rescaldina (MI) Italia,2019-4-14 16:00,80,15,Frasba dal Lac,CUS Padova Barbari,9,MB1
Campo 1,via Clemente Colelli 2 Mogliano Veneto (TV) Italia,2019-4-14 10:00,80,15,Ultimate Bergamo,Extradry,3,MB2
Campo 1,via Clemente Colelli 2 Mogliano Veneto (TV) Italia,2019-4-14 11:30,80,14,Voladora,Discover,9,MB2
Campo 1,via Clemente Colelli 2 Mogliano Veneto (TV) Italia,2019-4-14 13:00,80,15,Ultimate Bergamo,PGS Rams,7,MB2
Campo 1,via Clemente Colelli 2 Mogliano Veneto (TV) Italia,2019-4-14 14:30,80,15,Voladora,45 Giri,6,MB2
Campo 1,via Clemente Colelli 2 Mogliano Veneto (TV) Italia,2019-4-14 16:00,80,5,Extradry,PGS Rams,15,MB2
Campo 1,via Clemente Colelli 2 Mogliano Veneto (TV) Italia,2019-4-14 17:30,80,12,45 Giri,Discover,15,MB2
Campo 1,Via del Sale 60 Cremona Italia,2019-4-14 09:00,80,11,Donkey Divers Ladies,HUB,13,WBN
Campo 1,Via del Sale 60 Cremona Italia,2019-4-14 10:30,80,13,Fireflies,CUSB Red Bulle West,7,WBN
Campo 1,Via del Sale 60 Cremona Italia,2019-4-14 12:00,80,15,Donkey Divers Ladies,2DPick,4,WBN
Campo 1,Via del Sale 60 Cremona Italia,2019-4-14 13:30,80,8,Fireflies,CUS Padova Tane Malefiche,11,WBN
Campo 1,Via del Sale 60 Cremona Italia,2019-4-14 15:00,80,15,HUB,2DPick,5,WBN
Campo 1,Via del Sale 60 Cremona Italia,2019-4-14 16:30,80,15,CUS Padova Tane Malefiche,CUSB Red Bulle West,11,WBN
